"ID","緯度","経度","ジャンル1","サブジャンル1","ジャンル2","サブジャンル2","ジャンル3","サブジャンル3","名称","概略","郵便番号","住所","電話番号","Fax番号","E-mail","開館時間","休館日","料金","備考","リンク"
"1819","36.611343","136.678925","避難所","","","","","","福久南ほたる公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-3122","金沢市福久町ヘ47-1","","","","","","","",""
"1820","36.617294","136.679416","避難所","","","","","","福久中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-3126","金沢市福久1-78","","","","","","","",""
"1821","36.619381","136.68196","避難所","","","","","","福久かねと公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-3126","金沢市福久2-131","","","","","","","",""
"1822","36.607027","136.677485","避難所","","","","","","横枕はすの里公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-3135","金沢市横枕町ハ80-1","","","","","","","",""
"1823","36.614216","136.678642","避難所","","","","","","福久わんぱく公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-3122","金沢市福久町ヲ115","","","","","","","",""
"1824","36.616188","136.685192","避難所","","","","","","荒屋八幡公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-3124","金沢市荒屋1-96","","","","","","","",""
"1825","36.604622","136.681898","避難所","","","","","","法光寺ふれあい公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-3132","金沢市法光寺町124-4","","","","","","","",""
"1826","36.602014","136.6733","避難所","","","","","","疋田中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0003","金沢市疋田1-187","","","","","","","",""
"1827","36.604718","136.672979","避難所","","","","","","東インター公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0003","金沢市疋田3-65","","","","","","","",""
"1828","36.605795","136.674127","避難所","","","","","","千坂公民館（指定避難場所）","収容人数：157
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0002","金沢市千木1-119","","","","","","","標高：4.8M",""
"1829","36.605736","136.674977","避難所","","","","","","千坂小学校（指定避難場所）","収容人数：2159
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0002","金沢市千木1-125","","","","","","","標高：5.0M",""
"1830","36.589787","136.67382","避難所","","","","","","城北中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0811","金沢市小坂町西8-6","","","","","","","",""
